City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Hongjiang,CN,27.11,109.9956,59.79,76,98,2.51,overcast clouds
157,Buala,SB,-8.145,159.5921,84.11,72,99,4.85,light rain
158,Maceio,BR,-9.6658,-35.7353,76.44,83,75,6.91,broken clouds
159,Kilindoni,TZ,-7.9139,39.6668,79.66,78,61,19.44,moderate rain
160,Sassandra,CI,4.95,-6.0833,79.83,86,75,6.49,broken clouds
161,Mokhotlong,LS,-29.2894,29.0675,42.71,76,0,1.54,clear sky
162,Xiaoweizhai,CN,26.1903,107.5125,54.97,86,100,4.83,overcast clouds
163,Kirakira,SB,-10.4544,161.9205,82.11,79,100,9.08,light rain
164,Komsomolskiy,UZ,40.4272,71.7189,68.72,52,82,6.91,broken clouds
165,Saint George,US,37.1041,-113.5841,77.59,15,0,25.32,clear sky
166,Nampula,MZ,-15.1165,39.2666,66.15,94,75,6.91,broken clouds
167,Okato,NZ,-39.2,173.8833,67.17,79,100,15.99,overcast clouds
168,Severo-Kurilsk,RU,50.6789,156.125,35.98,86,77,9.06,broken clouds
169,New Norfolk,AU,-42.7826,147.0587,62.92,72,86,1.99,overcast clouds
170,Suntar,RU,62.1444,117.6319,26.28,60,57,13.02,broken clouds
171,Manaure,CO,11.7751,-72.4445,83.98,73,100,3.98,overcast clouds
172,Talnakh,RU,69.4865,88.3972,20.21,95,100,6.67,light snow
173,Canakkale,TR,40.0833,26.8333,50.58,91,83,8.99,broken clouds
174,Ola,RU,59.5833,151.2833,43.14,83,43,6.69,scattered clouds
175,Norsup,VU,-16.0667,167.3833,83.97,68,100,1.01,overcast clouds
176,Meulaboh,ID,4.1363,96.1285,76.66,89,100,4.16,overcast clouds
177,Lagoa,PT,39.05,-27.9833,60.98,82,9,2.57,clear sky
178,Waingapu,ID,-9.6567,120.2641,82.89,76,62,15.55,broken clouds
179,Collie,AU,-33.3667,116.15,55.11,87,34,0.74,scattered clouds
180,Mana,GF,5.6592,-53.7767,77.23,86,84,10.51,broken clouds
181,Puerto Leguizamo,CO,-0.1934,-74.7819,76.19,81,98,2.13,overcast clouds
182,Gari,RU,59.4307,62.3497,27.54,92,80,9.28,broken clouds
183,Honiara,SB,-9.4333,159.95,83.19,80,99,3.74,overcast clouds
184,Lata,PT,40.1629,-8.3327,57.07,86,51,6.22,broken clouds
185,Kissidougou,GN,9.1848,-10.0999,74.86,78,66,3.4,broken clouds
186,Mookane,BW,-23.688,26.6595,61.92,70,30,9.46,scattered clouds
187,Hambantota,LK,6.1241,81.1185,80.69,82,94,14.45,overcast clouds
188,Fort Nelson,CA,58.8053,-122.7002,53.19,37,40,14.97,scattered clouds
189,Roma,US,43.2128,-75.4557,66.34,30,0,9.22,clear sky
190,Xam Nua,LA,20.4197,104.0439,60.04,87,91,2.28,overcast clouds
191,Havoysund,NO,70.9963,24.6622,28.63,78,93,23.82,overcast clouds
192,San Quintin,MX,30.4833,-115.95,63.37,70,1,16.6,clear sky
193,Teguise,ES,29.0605,-13.564,62.82,77,20,20.71,few clouds
194,Kailua,US,21.4022,-157.7394,84.18,69,20,17.27,few clouds
195,Tasiilaq,GL,65.6145,-37.6368,26.76,57,88,4.92,overcast clouds
196,Kavieng,PG,-2.5744,150.7967,85.1,70,28,9.98,scattered clouds
197,Ketchikan,US,55.3422,-131.6461,45.07,93,100,12.66,moderate rain
198,Collipulli,CL,-37.95,-72.4333,46.83,89,39,5.55,scattered clouds
199,Paka,MY,4.6374,103.4368,79.29,86,100,3.89,overcast clouds
200,Chuy,UY,-33.6971,-53.4616,51.66,80,0,7.83,clear sky
201,Tiksi,RU,71.6872,128.8694,16.92,84,95,10.38,overcast clouds
202,Daru,PG,-9.0763,143.2092,81.3,85,47,11.21,scattered clouds
203,Betma,IN,22.6833,75.6167,81.43,52,6,16.73,clear sky
204,Aguimes,ES,27.9054,-15.4461,63.66,68,20,24.0,few clouds
205,Mayo,US,38.8876,-76.5119,60.75,89,40,6.91,scattered clouds
206,Kavadarci,MK,41.4331,22.0119,50.11,83,78,3.24,broken clouds
207,Alta Floresta,BR,-9.8756,-56.0861,76.32,81,39,2.75,scattered clouds
208,Meadow Lake,US,34.8014,-106.5436,85.3,3,1,24.45,clear sky
209,Karratha,AU,-20.7377,116.8463,79.18,51,100,11.95,overcast clouds
210,Biak,ID,-0.9131,122.8766,80.49,77,47,5.3,scattered clouds
211,Kamina,CD,-8.7386,24.9906,64.58,94,99,2.42,overcast clouds
212,Marawi,PH,7.9986,124.2928,72.34,93,99,0.31,overcast clouds
213,Muros,ES,42.7762,-9.0603,51.55,86,29,5.26,scattered clouds
214,Kerema,PG,-7.9631,145.7785,83.55,69,61,1.9,broken clouds
215,Solnechnyy,RU,50.7214,136.6319,35.98,80,89,5.01,overcast clouds
216,Saint-Philippe,RE,-21.3585,55.7679,73.22,84,2,2.91,clear sky
217,Tilichiki,RU,60.4667,166.1,24.87,84,17,4.88,few clouds
218,Kutum,SD,14.2,24.6667,80.8,10,58,7.31,broken clouds
219,Puerto Escondido,MX,15.85,-97.0667,86.83,70,40,5.75,scattered clouds
220,Dikson,RU,73.5069,80.5464,8.1,95,100,10.92,overcast clouds
221,Sinnamary,GF,5.3833,-52.95,77.95,84,53,11.83,broken clouds
222,Isangel,VU,-19.55,169.2667,80.83,84,96,8.68,overcast clouds
223,Castro,BR,-24.7911,-50.0119,63.16,88,62,2.48,broken clouds
224,Mandalgovi,MN,45.7625,106.2708,55.94,23,9,3.83,clear sky
225,Cabo San Lucas,MX,22.8909,-109.9124,88.61,27,20,12.66,few clouds
226,Bubaque,GW,11.2833,-15.8333,77.7,71,35,11.1,scattered clouds
227,Inhambane,MZ,-23.865,35.3833,68.74,83,19,8.61,few clouds
228,Kaitangata,NZ,-46.2817,169.8464,60.13,68,16,5.28,few clouds
229,Kruisfontein,ZA,-34.0033,24.7314,50.88,90,0,4.54,clear sky
230,Bireun,ID,5.203,96.7009,78.19,81,100,4.38,overcast clouds
231,Kaitong,CN,44.8135,123.15,48.56,49,3,1.99,clear sky
232,Kushima,JP,31.4583,131.2333,64.06,61,100,3.02,overcast clouds
233,Svetlogorsk,BY,52.6333,29.7333,43.39,93,68,5.35,broken clouds
234,Beyla,GN,8.6833,-8.6333,71.74,85,97,2.04,overcast clouds
235,Hovd,MN,48.0056,91.6419,52.86,20,68,8.48,broken clouds
236,Murupara,NZ,-38.4667,176.7,63.41,56,99,2.15,overcast clouds
237,Mehamn,NO,71.0357,27.8492,25.25,79,88,11.39,overcast clouds
238,Husavik,IS,66.0449,-17.3389,27.57,75,100,9.26,overcast clouds
239,Bethel,US,41.3712,-73.414,62.65,50,100,5.01,overcast clouds
240,Norrtalje,SE,59.758,18.705,44.02,59,94,8.86,overcast clouds
241,Turtas,RU,58.9417,69.1325,33.22,83,99,5.57,overcast clouds
242,Ixtapa,MX,20.7,-105.2,78.22,73,75,16.11,broken clouds
243,Te Anau,NZ,-45.4167,167.7167,57.85,72,14,4.74,few clouds
244,Senanga,ZM,-16.1167,23.2667,65.19,52,25,5.28,scattered clouds
245,Mahebourg,MU,-20.4081,57.7,73.26,94,20,1.14,few clouds
246,Bella Vista,US,36.4295,-94.2316,74.32,36,0,5.75,clear sky
247,Teacapan,MX,22.55,-105.75,79.47,52,43,7.94,scattered clouds
248,Saint-Ambroise,CA,48.5501,-71.3324,58.6,36,83,9.22,broken clouds
249,Dunedin,NZ,-45.8742,170.5036,62.8,67,6,4.0,clear sky
250,Shitkino,RU,56.3703,98.3543,41.36,78,100,11.39,overcast clouds
251,Katsuura,JP,35.1333,140.3,57.45,64,100,12.03,overcast clouds
252,Bandarbeyla,SO,9.4942,50.8122,82.81,81,47,8.32,scattered clouds
253,Caravelas,BR,-17.7125,-39.2481,74.5,79,0,5.59,clear sky
254,Ribeira Grande,PT,38.5167,-28.7,62.44,83,21,3.15,few clouds
255,Goderich,CA,43.7501,-81.7165,55.72,82,100,13.8,overcast clouds
256,Ormara,PK,25.2088,64.6357,81.28,77,0,15.41,clear sky
257,Tsiroanomandidy,MG,-18.7667,46.0333,58.69,81,2,3.13,clear sky
258,Santa Maria,BR,-29.6842,-53.8069,63.7,94,100,4.61,mist
259,Nelson Bay,AU,-32.7167,152.15,66.09,91,28,1.99,scattered clouds
260,Bengkulu,ID,-3.8004,102.2655,76.6,86,95,4.18,overcast clouds
261,Kaeo,NZ,-35.1,173.7833,67.32,83,83,8.77,broken clouds
262,Linares,CL,-35.85,-71.6,51.03,75,98,3.96,overcast clouds
263,Necochea,AR,-38.5473,-58.7368,51.69,62,99,9.13,overcast clouds
264,Vitim,RU,59.4511,112.5578,27.48,72,77,8.63,broken clouds
265,Pimenta Bueno,BR,-11.6725,-61.1936,74.64,91,43,1.92,scattered clouds
266,Sorong,ID,-0.8833,131.25,82.2,79,87,7.27,overcast clouds
267,Usinsk,RU,65.9939,57.5281,19.38,90,94,8.25,overcast clouds
268,Viloco,BO,-16.95,-67.55,45.37,86,20,3.76,few clouds
269,Aloleng,PH,16.1307,119.7824,83.44,69,89,5.23,overcast clouds
270,Qaanaaq,GL,77.484,-69.3632,7.12,72,19,6.17,few clouds
271,Longyearbyen,SJ,78.2186,15.6401,12.04,67,75,3.44,light snow
272,Avera,US,33.194,-82.5271,81.91,65,81,7.02,broken clouds
273,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,42.75,92,100,7.85,moderate rain
274,Omsukchan,RU,62.5333,155.8,27.9,88,85,7.67,overcast clouds
275,Tabou,CI,4.423,-7.3528,80.83,81,51,7.36,broken clouds
276,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,13.8,broken clouds
277,Yumen,CN,40.2833,97.2,52.77,14,16,1.92,few clouds
278,Yulara,AU,-25.2406,130.9889,60.64,59,100,6.91,overcast clouds
279,Samana,DO,19.2056,-69.3369,73.36,87,100,5.84,overcast clouds
280,Galle,LK,6.0367,80.217,81.52,84,95,13.31,overcast clouds
281,Ahipara,NZ,-35.1667,173.1667,68.18,62,97,7.43,overcast clouds
