City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Nelson Bay,AU,2022-04-21 20:54:22,-32.7167,152.15,69.01,95,99,16.51
98,Karpogory,RU,2022-04-21 20:54:22,64.0019,44.4451,22.71,96,61,3.0
99,Areosa,PT,2022-04-21 20:54:22,41.7178,-8.8571,50.32,91,100,9.64
100,Kon Tum,VN,2022-04-21 20:54:22,14.35,108.0,68.34,97,36,1.74
101,Xingcheng,CN,2022-04-21 20:54:23,40.6167,120.7167,48.15,66,4,7.09
102,Jian,CN,2022-04-21 20:54:23,27.1172,114.9793,68.94,85,100,5.14
103,Broome,US,2022-04-21 20:54:23,42.2506,-75.833,52.63,75,100,8.01
104,Sao Filipe,CV,2022-04-21 20:54:24,14.8961,-24.4956,73.98,74,100,5.26
105,Taunggyi,MM,2022-04-21 20:54:24,20.7833,97.0333,62.31,65,2,2.59
106,Butaritari,KI,2022-04-21 20:54:24,3.0707,172.7902,80.46,81,93,12.73
107,Lavrentiya,RU,2022-04-21 20:54:25,65.5833,-171.0,26.37,82,11,4.34
108,Mahebourg,MU,2022-04-21 20:54:25,-20.4081,57.7,78.26,88,75,4.61
109,Carnarvon,AU,2022-04-21 20:54:25,-24.8667,113.6333,66.27,88,65,5.75
110,Mar Del Plata,AR,2022-04-21 20:53:30,-38.0023,-57.5575,65.88,54,0,13.8
111,Preston,GB,2022-04-21 20:54:26,53.7667,-2.7167,53.85,61,10,4.0
112,Severo-Kurilsk,RU,2022-04-21 20:54:26,50.6789,156.125,36.09,96,81,7.07
113,Marsaxlokk,MT,2022-04-21 20:54:26,35.8419,14.5431,62.08,82,60,8.05
114,Namibe,AO,2022-04-21 20:54:27,-15.1961,12.1522,73.99,75,96,4.54
115,Leh,IN,2022-04-21 20:54:27,34.1667,77.5833,37.09,69,87,2.3
116,Hervey Bay,AU,2022-04-21 20:54:27,-25.2986,152.8535,72.01,76,91,5.99
117,Nakamura,JP,2022-04-21 20:54:27,32.9833,132.9333,55.69,97,32,4.38
118,Bredasdorp,ZA,2022-04-21 20:54:28,-34.5322,20.0403,58.82,88,5,3.87
119,Constitucion,CL,2022-04-21 20:54:28,-35.3333,-72.4167,53.19,69,100,3.11
120,Thompson,CA,2022-04-21 20:54:28,55.7435,-97.8558,35.76,30,20,6.91
121,Cidreira,BR,2022-04-21 20:54:29,-30.1811,-50.2056,68.49,81,43,7.99
122,Prince Rupert,CA,2022-04-21 20:54:29,54.3161,-130.3201,55.49,44,0,9.22
123,Fort Nelson,CA,2022-04-21 20:54:29,58.8053,-122.7002,36.99,52,75,4.61
124,Luderitz,NA,2022-04-21 20:54:30,-26.6481,15.1594,62.64,78,4,7.72
125,Rawson,AR,2022-04-21 20:54:30,-43.3002,-65.1023,57.99,64,100,13.73
126,Slave Lake,CA,2022-04-21 20:54:30,55.2834,-114.769,46.38,39,40,18.41
127,Dingle,PH,2022-04-21 20:54:31,10.9995,122.6711,77.0,91,10,7.23
128,Cherskiy,RU,2022-04-21 20:54:31,68.75,161.3,16.0,96,82,7.05
129,Champerico,GT,2022-04-21 20:54:31,14.3,-91.9167,93.74,61,5,14.43
130,Codrington,AU,2022-04-21 20:54:31,-38.2667,141.9667,54.45,72,100,11.25
131,Torbay,CA,2022-04-21 20:54:32,47.6666,-52.7314,47.17,72,75,17.0
132,Cam Ranh,VN,2022-04-21 20:54:32,11.9214,109.1591,75.16,88,20,1.14
133,Nikolskoye,RU,2022-04-21 20:54:32,59.7035,30.7861,43.81,88,6,4.14
134,Port Elizabeth,ZA,2022-04-21 20:51:05,-33.918,25.5701,64.31,93,40,12.66
135,Port Blair,IN,2022-04-21 20:54:33,11.6667,92.75,82.58,72,61,1.99
